h3_cell,h3_center_lat,h3_center_lon
883874c19bfffff,36.396059,3.817009
883874c1a1fffff,36.36453,3.772578
883874c1a3fffff,36.363052,3.782647
883874c1a9fffff,36.372609,3.769376
883874c1abfffff,36.371132,3.779446
883874c1b3fffff,36.366695,3.80966
883874c1bdfffff,36.369654,3.789517
883874c1d9fffff,36.415174,3.790455
883874c1dbfffff,36.413697,3.800531
883874c22dfffff,36.479052,3.71763
883874c265fffff,36.488587,3.704343
883874c267fffff,36.487122,3.714421
883874c2a5fffff,36.460685,3.791394
883874c2a9fffff,36.475363,3.795068
883874c2adfffff,36.468761,3.78819
883874c2e1fffff,36.484911,3.78178
883874c2e3fffff,36.483438,3.791863
883874c2e5fffff,36.478308,3.774903
883874c2e7fffff,36.476836,3.784985
883874c305fffff,36.44603,3.683302
883874c307fffff,36.444564,3.693375
883874c315fffff,36.449701,3.710313
883874c317fffff,36.448234,3.720387
883874c321fffff,36.431354,3.679651
883874c323fffff,36.429888,3.689721
883874c329fffff,36.439425,3.676441
